cluster_id,start_distance_ft,end_distance_ft,span_ft,center_distance_ft,avg_clock_position,anomaly_count,max_depth_pct,avg_depth_pct,total_length_in,avg_width_in,severity_score,is_critical
60,31549.2,31551.06,1.860000000000582,31549.820000000003,6.6000000000000005,3,28.0,17.0,16.85,6.2299999999999995,20.755000000000003,False
61,31574.91,31586.57,11.659999999999854,31578.974,5.609999999999999,5,52.0,24.2,14.770000000000001,4.274,32.731,True
62,32594.86,32594.9,0.040000000000873115,32594.88,5.541666666666667,2,28.0,19.0,2.3899999999999997,2.46,14.917000000000002,False
63,32925.21,32928.3,3.0900000000037835,32926.6575,6.945833333333333,4,31.0,21.25,29.85,6.3775,27.354999999999997,False
64,33031.11,33032.88,1.7699999999967986,33031.71,5.227777777777778,3,15.0,11.666666666666666,5.7,6.086666666666666,12.21,False
65,33304.46,33304.98,0.5200000000040745,33304.72,11.683333333333334,2,28.0,19.5,8.030000000000001,6.135,16.609,False
66,33374.95,33390.29,15.340000000003783,33382.324,5.703333333333334,5,31.0,23.2,20.97,2.776,26.191,False
67,33405.66,33405.96,0.2999999999956344,33405.81,4.416666666666666,2,15.0,12.5,3.7399999999999998,1.54,10.122,False
68,33479.84,33481.04,1.2000000000043656,33480.365000000005,11.5625,4,26.0,16.75,8.52,1.6824999999999999,18.956,False
69,33750.65,33753.51,2.860000000000582,33752.08,10.191666666666666,2,34.0,23.5,2.0,3.2649999999999997,17.200000000000003,False
70,33853.06,33853.37,0.31000000000494765,33853.215,12.008333333333333,2,12.0,11.0,1.81,0.945,8.343,False
71,33975.28,33975.39,0.11000000000058208,33975.33,8.777777777777779,3,18.0,14.666666666666666,8.969999999999999,5.533333333333334,14.390999999999998,False
72,34024.54,34025.04,0.5,34024.79,6.366666666666667,2,25.0,21.5,6.93,3.6550000000000002,15.079,False
73,34055.57,34057.22,1.6500000000014552,34056.395000000004,10.591666666666667,2,21.0,16.0,2.09,2.54,12.027000000000001,False
74,34137.11,34137.15,0.040000000000873115,34137.13,4.3,3,22.0,18.333333333333332,8.24,9.963333333333333,15.772,False
75,34859.79,34861.31,1.5199999999967986,34860.55,8.9,2,17.0,16.0,1.2999999999999998,0.79,10.190000000000001,False
76,35820.7,35820.93,0.23000000000320142,35820.8425,7.020833333333334,4,32.0,21.25,8.96,5.315,21.488,False
77,39334.75,39335.7,0.9499999999970896,39335.225,3.7583333333333337,2,16.0,13.0,6.69,10.645,11.407,False
78,39592.67,39593.37,0.7000000000043656,39593.12333333333,6.249999999999999,3,27.0,23.333333333333332,10.18,7.403333333333333,18.354,False
79,39641.08,39641.74,0.6599999999962165,39641.41,4.5,2,33.0,32.0,8.37,11.75,18.711000000000002,False
80,40008.62,40009.5,0.8799999999973807,40009.06,6.825,2,10.0,10.0,2.05,0.71,7.615,False
81,41163.99,41174.55,10.560000000004948,41168.316000000006,5.263333333333334,5,30.0,16.0,12.83,1.9919999999999998,23.349,False
82,41466.16,41466.26,0.09999999999854481,41466.200000000004,4.933333333333334,3,29.0,21.333333333333332,11.53,5.463333333333334,19.559,False
83,41485.96,41486.78,0.819999999999709,41486.3925,10.045833333333334,4,17.0,14.75,12.33,2.4925,16.499000000000002,False
84,41501.43,41504.01,2.5800000000017462,41502.795,9.137500000000001,4,14.0,11.0,12.34,2.06,15.302000000000001,False
85,41544.42,41546.08,1.6600000000034925,41544.98333333333,8.733333333333334,3,23.0,17.0,4.49,0.8933333333333332,15.047,False
86,41576.47,41581.35,4.879999999997381,41578.91,7.508333333333333,2,19.0,18.5,7.41,2.975,12.823,False
87,41593.16,41593.61,0.4499999999970896,41593.385,7.458333333333334,2,16.0,13.0,6.74,2.275,11.422,False
88,41605.47,41614.46,8.989999999997963,41608.896,5.576666666666666,10,25.0,15.6,27.070000000000004,2.586,33.121,False
89,41636.74,41659.02,22.279999999998836,41650.084444444445,8.924074074074076,18,25.0,16.22222222222222,48.95,2.4333333333333336,51.685,False
90,41676.35,41676.62,0.27000000000407454,41676.485,5.541666666666667,2,33.0,24.5,6.33,6.055000000000001,18.099000000000004,False
91,41703.53,41706.26,2.7300000000032014,41704.98142857143,5.304761904761905,7,33.0,18.571428571428573,24.890000000000004,7.700000000000001,31.167,False
92,41746.38,41747.21,0.8300000000017462,41746.795,9.708333333333332,2,13.0,12.0,1.62,0.925,8.686,False
93,41784.33,41787.46,3.1299999999973807,41785.996666666666,5.2444444444444445,3,13.0,11.666666666666666,5.07,2.5533333333333332,11.221,False
94,43675.86,43677.48,1.6200000000026193,43676.67,5.3,2,16.0,13.0,3.96,5.825,10.588000000000001,False
95,43925.26,43930.51,5.25,43928.8075,8.979166666666668,4,27.0,17.25,12.229999999999999,0.6975,20.469,False
96,43949.85,43962.76,12.910000000003492,43955.9375,4.05,8,13.0,11.625,20.77,2.2675,23.430999999999997,False
97,43981.57,43985.28,3.709999999999127,43983.425,7.933333333333334,2,16.0,13.5,4.45,4.3,10.735,False
98,44056.31,44056.42,0.11000000000058208,44056.365,6.158333333333333,2,30.0,21.5,6.890000000000001,5.74,17.067,False
99,44640.11,44647.98,7.870000000002619,44642.776,5.153333333333332,5,22.0,16.6,11.21,1.55,19.663,False
100,44698.12,44703.81,5.689999999995052,44700.33666666667,5.508333333333333,6,20.0,12.5,8.23,1.495,19.469,False
101,45112.14,45112.14,0.0,45112.14,12.258333333333333,2,39.0,38.5,2.3200000000000003,0.905,19.296000000000003,False
102,45138.44,45139.21,0.7699999999967986,45138.825,3.7583333333333333,2,47.0,30.5,6.449999999999999,3.3449999999999998,23.735,False
103,45166.83,45175.35,8.519999999996799,45172.43666666667,5.43888888888889,3,23.0,22.0,2.2399999999999998,1.38,14.372000000000002,False
104,45950.05,45951.85,1.7999999999956344,45950.905000000006,6.091666666666667,4,14.0,12.25,8.91,10.855,14.273000000000001,False
105,46109.65,46109.65,0.0,46109.65,5.966666666666667,2,26.0,25.0,8.17,5.365,15.851,False
106,46190.01,46199.31,9.299999999995634,46193.14,6.366666666666667,7,15.0,12.571428571428571,12.290000000000001,4.365714285714286,20.187,False
107,46333.84,46343.06,9.220000000001164,46338.45,9.0,2,24.0,17.0,8.55,1.22,15.165000000000001,False
108,46430.41,46437.34,6.929999999993015,46432.5825,7.0,4,38.0,22.5,4.21,1.2125,22.463,False
109,46764.12,46764.26,0.13999999999941792,46764.19,4.733333333333333,2,28.0,20.0,9.19,8.465,16.957,False
110,47266.22,47266.24,0.01999999999679858,47266.229999999996,2.55,2,12.0,11.5,3.98,4.525,8.994,False
111,47298.31,47299.22,0.9100000000034925,47298.765,12.258333333333333,2,14.0,12.5,5.19,1.18,10.157000000000002,False
112,47325.43,47327.36,1.930000000000291,47326.09666666666,4.527777777777778,3,21.0,17.0,10.25,13.443333333333333,15.975,False
113,47373.61,47373.76,0.1500000000014552,47373.685,4.608333333333333,2,14.0,12.5,1.06,0.71,8.918000000000001,False
114,47548.14,47548.42,0.27999999999883585,47548.28,4.416666666666666,2,33.0,24.0,5.88,9.934999999999999,17.964000000000002,False
115,50192.33,50201.03,8.69999999999709,50197.70285714286,6.35952380952381,7,33.0,18.142857142857142,25.169999999999998,1.7842857142857145,31.251,False
116,53187.09,53188.47,1.3800000000046566,53187.93200000001,5.5,5,24.0,15.8,13.81,3.2,21.243000000000002,False
117,56387.34,56387.44,0.10000000000582077,56387.39,7.504166666666666,4,14.0,11.0,5.25,2.535,13.175,False
